"","dow","temp","BAR_OR_TAVERN"
"846","Sunday",47.9,0.0454545454545455
"847","Monday",49.9,0.0454545454545455
"848","Tuesday",48.1,0.0454545454545455
"849","Wednesday",52.5,0.0909090909090909
"850","Thursday",50.4,0.0454545454545455
"851","Friday",55.9,0.318181818181818
"852","Saturday",51.9,0.227272727272727
"853","Sunday",53.5,0.0909090909090909
"854","Monday",56.3,0
"855","Tuesday",51.7,0.0454545454545455
"856","Wednesday",48.8,0.0454545454545455
"857","Thursday",54.3,0
"858","Friday",51.5,0.136363636363636
"859","Saturday",48.9,0.0909090909090909
"860","Sunday",51.7,0.0454545454545455
"861","Monday",49.8,0.0454545454545455
"862","Tuesday",52.4,0.0909090909090909
"863","Wednesday",53.1,0.0454545454545455
"864","Thursday",55.1,0.227272727272727
"865","Friday",58.9,0.0909090909090909
"866","Saturday",58.9,0.181818181818182
"867","Sunday",59.1,0.318181818181818
"868","Monday",57.5,0.0454545454545455
"869","Tuesday",58.3,0.0909090909090909
"870","Wednesday",62.9,0
"871","Thursday",54.4,0.0454545454545455
"872","Friday",49.7,0.0909090909090909
"873","Saturday",55.2,0.0454545454545455
"874","Sunday",67.6,0.409090909090909
"875","Monday",57.4,0
"876","Tuesday",55.4,0
"877","Wednesday",61.2,0.0454545454545455
"878","Thursday",66.1,0.227272727272727
"879","Friday",58,0.181818181818182
"880","Saturday",47.5,0.181818181818182
"881","Sunday",49.6,0.363636363636364
"882","Monday",57.9,0.318181818181818
"883","Tuesday",59.2,0.0454545454545455
"884","Wednesday",60.4,0.0909090909090909
"885","Thursday",59.2,0
"886","Friday",60.7,0.136363636363636
"887","Saturday",61.7,0.227272727272727
"888","Sunday",70.2,0.181818181818182
"889","Monday",65,0.0909090909090909
"890","Tuesday",64.5,0.0454545454545455
"891","Wednesday",68.9,0.0909090909090909
"892","Thursday",68.4,0
"893","Friday",60.2,0.181818181818182
"894","Saturday",62.1,0.272727272727273
"895","Sunday",63.5,0.227272727272727
"896","Monday",65.4,0.136363636363636
"897","Tuesday",68,0.0454545454545455
"898","Wednesday",67.9,0
"899","Thursday",64.9,0.0909090909090909
"900","Friday",66.1,0.181818181818182
"901","Saturday",68.4,0.318181818181818
"902","Sunday",69.5,0.363636363636364
"903","Monday",69.1,0.136363636363636
"904","Tuesday",70.6,0.0454545454545455
"905","Wednesday",65.9,0.181818181818182
"906","Thursday",63.4,0.0454545454545455
"907","Friday",66.5,0.0909090909090909
"908","Saturday",70,0.772727272727273
"909","Sunday",70.9,0.5
"910","Monday",72.9,0.0454545454545455
"911","Tuesday",73.5,0
"912","Wednesday",73.5,0.0909090909090909
"913","Thursday",73.9,0.0454545454545455
"914","Friday",70.3,0.272727272727273
"915","Saturday",62.3,0.318181818181818
"916","Sunday",62.9,0.181818181818182
"917","Monday",63.6,0
"918","Tuesday",71.6,0
"919","Wednesday",73.7,0.0909090909090909
"920","Thursday",72.5,0.136363636363636
"921","Friday",72,0.227272727272727
"922","Saturday",71,0.272727272727273
"923","Sunday",68.9,0.363636363636364
"924","Monday",70.5,0.181818181818182
"925","Tuesday",66.3,0
"926","Wednesday",69.1,0.0909090909090909
"927","Thursday",72.6,0.227272727272727
"928","Friday",72.9,0.318181818181818
"929","Saturday",74.2,0.181818181818182
"930","Sunday",74.5,0.545454545454545
"931","Monday",73.8,0.0454545454545455
"932","Tuesday",74.3,0.0909090909090909
"933","Wednesday",74.2,0.0454545454545455
"934","Thursday",73.1,0.272727272727273
"935","Friday",73.6,0.0909090909090909
"936","Saturday",70.8,0.318181818181818
"937","Sunday",70.4,0.727272727272727
"938","Monday",74.9,0.181818181818182
"939","Tuesday",76.7,0.181818181818182
"940","Wednesday",72.1,0.136363636363636
"941","Thursday",67.2,0.136363636363636
"942","Friday",74,0.5
"943","Saturday",70,1
"944","Sunday",69.4,0.772727272727273
"945","Monday",72.4,0.136363636363636
"946","Tuesday",69.3,0.0454545454545455
"947","Wednesday",68.4,0.136363636363636
"948","Thursday",72.3,0.136363636363636
"949","Friday",72,0.227272727272727
"950","Saturday",73,0.318181818181818
"951","Sunday",75.4,0.636363636363636
"952","Monday",72.4,0.0909090909090909
"953","Tuesday",73.1,0
"954","Wednesday",75.3,0.0454545454545455
"955","Thursday",75.9,0.0454545454545455
"956","Friday",76.7,0.136363636363636
"957","Saturday",78.1,0.545454545454545
"958","Sunday",77,0.227272727272727
"959","Monday",70.2,0.0909090909090909
"960","Tuesday",69.9,0.0454545454545455
"961","Wednesday",73.1,0.181818181818182
"962","Thursday",75,0.0909090909090909
