"","dow","temp","TOTAL_CRIMES"
"753","Friday",36.5,0.395698924731183
"754","Saturday",32.2,0.408602150537634
"755","Sunday",24.7,0.372043010752688
"756","Monday",26.6,0.438709677419355
"757","Tuesday",31.9,0.221505376344086
"758","Wednesday",34.6,0.389247311827957
"759","Thursday",35.3,0.309677419354839
"760","Friday",18.1,0.335483870967742
"761","Saturday",19.2,0.268817204301075
"762","Sunday",22.2,0.010752688172043
"763","Monday",33.7,0.436559139784946
"764","Tuesday",41.8,0.361290322580645
"765","Wednesday",34.1,0.352688172043011
"766","Thursday",33.3,0.212903225806452
"767","Friday",37.2,0.313978494623656
"768","Saturday",38.9,0.141935483870968
"769","Sunday",35.1,0.101075268817204
"770","Monday",27.6,0.167741935483871
"771","Tuesday",26.1,0.221505376344086
"772","Wednesday",29.4,0.189247311827957
"773","Thursday",26.2,0.217204301075269
"774","Friday",22.5,0.32258064516129
"775","Saturday",27.6,0.180645161290323
"776","Sunday",34,0.146236559139785
"777","Monday",37,0
"778","Tuesday",42.7,0.0645161290322581
"779","Wednesday",32.6,0.212903225806452
"780","Thursday",29.2,0.236559139784946
"781","Friday",33.1,0.335483870967742
"782","Saturday",31.5,0.29247311827957
"783","Sunday",26.8,0.273118279569892
"784","Monday",32.4,0.339784946236559
"785","Tuesday",38.5,0.451612903225806
"786","Wednesday",39.9,0.395698924731183
"787","Thursday",42.9,0.423655913978495
"788","Friday",34.7,0.505376344086022
"789","Saturday",39.1,0.496774193548387
"790","Sunday",41.6,0.490322580645161
"791","Monday",43.5,0.597849462365591
"792","Tuesday",26.1,0.367741935483871
"793","Wednesday",38.2,0.494623655913978
"794","Thursday",39.3,0.423655913978495
"795","Friday",30.2,0.419354838709677
"796","Saturday",31,0.410752688172043
"797","Sunday",28.7,0.331182795698925
"798","Monday",32.6,0.436559139784946
"799","Tuesday",42.1,0.539784946236559
"800","Wednesday",39.7,0.466666666666667
"801","Thursday",45.1,0.341935483870968
"802","Friday",47.8,0.425806451612903
"803","Saturday",39.1,0.365591397849462
"804","Sunday",39.8,0.262365591397849
"805","Monday",22.1,0.337634408602151
"806","Tuesday",28.4,0.311827956989247
"807","Wednesday",38.5,0.376344086021505
"808","Thursday",41.4,0.238709677419355
"809","Friday",33.6,0.359139784946237
"810","Saturday",37.9,0.331182795698925
"811","Sunday",40.8,0.458064516129032
"812","Monday",46.2,0.580645161290323
"813","Tuesday",51.1,0.339784946236559
"814","Wednesday",47.2,0.361290322580645
"815","Thursday",51.9,0.286021505376344
"816","Friday",51.3,0.374193548387097
"817","Saturday",49.9,0.305376344086021
"818","Sunday",48.1,0.440860215053763
"819","Monday",47.9,0.348387096774194
"820","Tuesday",43.7,0.417204301075269
"821","Wednesday",51.3,0.331182795698925
"822","Thursday",48.2,0.602150537634409
"823","Friday",37.1,0.367741935483871
"824","Saturday",36.6,0.434408602150538
"825","Sunday",46.3,0.445161290322581
"826","Monday",45.9,0.417204301075269
"827","Tuesday",47.5,0.455913978494624
"828","Wednesday",50.2,0.533333333333333
"829","Thursday",47,0.320430107526882
"830","Friday",47.6,0.417204301075269
"831","Saturday",44.4,0.382795698924731
"832","Sunday",48.2,0.309677419354839
"833","Monday",45.3,0.412903225806452
"834","Tuesday",45.5,0.391397849462366
"835","Wednesday",46.1,0.283870967741935
"836","Thursday",43.8,0.387096774193548
"837","Friday",43.8,0.406451612903226
"838","Saturday",42,0.387096774193548
"839","Sunday",47.2,0.253763440860215
"840","Monday",50.9,0.234408602150538
"841","Tuesday",50.3,0.223655913978495
"842","Wednesday",53.4,0.260215053763441
"843","Thursday",43,0.335483870967742
"844","Friday",45.1,0.380645161290323
"845","Saturday",51.1,0.43010752688172
"846","Sunday",47.9,0.356989247311828
"847","Monday",49.9,0.419354838709677
"848","Tuesday",48.1,0.587096774193548
"849","Wednesday",52.5,0.41505376344086
"850","Thursday",50.4,0.249462365591398
"851","Friday",55.9,0.567741935483871
"852","Saturday",51.9,0.765591397849462
"853","Sunday",53.5,0.612903225806452
"854","Monday",56.3,0.468817204301075
"855","Tuesday",51.7,0.305376344086021
