"","dow_num","TOTAL_CRIMES"
"939",2,0.606451612903226
"940",3,0.544086021505376
"941",4,0.806451612903226
"942",5,0.666666666666667
"943",6,0.967741935483871
"944",7,0.855913978494624
"945",1,0.574193548387097
"946",2,0.443010752688172
"947",3,0.537634408602151
"948",4,0.511827956989247
"949",5,0.535483870967742
"950",6,0.58494623655914
"951",7,0.610752688172043
"952",1,0.494623655913978
"953",2,0.412903225806452
"954",3,0.449462365591398
"955",4,0.408602150537634
"956",5,0.481720430107527
"957",6,0.593548387096774
"958",7,0.559139784946237
"959",1,0.563440860215054
"960",2,0.526881720430108
"961",3,0.378494623655914
"962",4,0.47741935483871
"963",5,0.572043010752688
"964",6,0.72258064516129
"965",7,0.58494623655914
"966",1,0.627956989247312
"967",2,0.470967741935484
"968",3,0.486021505376344
"969",4,0.531182795698925
"970",5,0.713978494623656
"971",6,0.606451612903226
"972",7,0.675268817204301
"973",1,0.595698924731183
"974",2,0.544086021505376
"975",3,0.797849462365591
"976",4,0.462365591397849
"977",5,0.660215053763441
"978",6,0.70752688172043
"979",7,0.716129032258065
"980",1,0.625806451612903
"981",2,0.490322580645161
"982",3,0.518279569892473
"983",4,0.582795698924731
"984",5,0.716129032258065
"985",6,0.69247311827957
"986",7,0.729032258064516
"987",1,0.752688172043011
"988",2,0.653763440860215
"989",3,0.683870967741935
"990",4,0.72258064516129
"991",5,0.606451612903226
"992",6,0.69247311827957
"993",7,0.804301075268817
"994",1,0.673118279569892
"995",2,0.606451612903226
"996",3,0.610752688172043
"997",4,0.604301075268817
"998",5,0.550537634408602
"999",6,0.647311827956989
"1000",7,0.604301075268817
"1001",1,0.634408602150538
"1002",2,0.701075268817204
"1003",3,0.660215053763441
"1004",4,0.587096774193548
"1005",5,1
"1006",6,0.782795698924731
"1007",7,0.759139784946237
"1008",1,0.61505376344086
"1009",2,0.638709677419355
"1010",3,0.690322580645161
"1011",4,0.518279569892473
"1012",5,0.643010752688172
"1013",6,0.668817204301075
"1014",7,0.649462365591398
"1015",1,0.486021505376344
"1016",2,0.621505376344086
"1017",3,0.574193548387097
"1018",4,0.567741935483871
"1019",5,0.627956989247312
"1020",6,0.572043010752688
"1021",7,0.612903225806452
"1022",1,0.634408602150538
"1023",2,0.468817204301075
"1024",3,0.56989247311828
"1025",4,0.623655913978495
"1026",5,0.582795698924731
"1027",6,0.666666666666667
"1028",7,0.32258064516129
"1029",1,0.520430107526882
"1030",2,0.63010752688172
"1031",3,0.567741935483871
"1032",4,0.552688172043011
"1033",5,0.58494623655914
"1034",6,0.604301075268817
"1035",7,0.681720430107527
"1036",1,0.705376344086021
"1037",2,0.572043010752688
"1038",3,0.539784946236559
"1039",4,0.511827956989247
"1040",5,0.501075268817204
"1041",6,0.632258064516129
"1042",7,0.651612903225806
"1043",1,0.683870967741935
"1044",2,0.623655913978495
"1045",3,0.621505376344086
"1046",4,0.494623655913978
"1047",5,0.449462365591398
"1048",6,0.541935483870968
"1049",7,0.483870967741935
"1050",1,0.552688172043011
"1051",2,0.552688172043011
"1052",3,0.421505376344086
"1053",4,0.513978494623656
"1054",5,0.50752688172043
"1055",6,0.576344086021505
"1056",7,0.526881720430108
"1057",1,0.419354838709677
"1058",2,0.352688172043011
"1059",3,0.548387096774194
"1060",4,0.161290322580645
"1061",5,0.440860215053763
"1062",6,0.453763440860215
"1063",7,0.496774193548387
"1064",1,0.561290322580645
"1065",2,0.49247311827957
"1066",3,0.726881720430108
"1067",4,0.625806451612903
"1068",5,0.724731182795699
"1069",6,0.561290322580645
"1070",7,0.466666666666667
"1071",1,0.470967741935484
"1072",2,0.397849462365591
"1073",3,0.574193548387097
"1074",4,0.529032258064516
"1075",5,0.548387096774194
"1076",6,0.451612903225806
"1077",7,0.548387096774194
"1078",1,0.574193548387097
"1079",2,0.49247311827957
"1080",3,0.610752688172043
"1081",4,0.559139784946237
"1082",5,0.509677419354839
"1083",6,0.524731182795699
"1084",7,0.367741935483871
"1085",1,0.434408602150538
"1086",2,0.354838709677419
"1087",3,0.301075268817204
"1088",4,0.417204301075269
"1089",5,0.318279569892473
"1090",6,0.288172043010753
"1091",7,0.232258064516129
"1092",1,0.374193548387097
"1093",2,0.255913978494624
"1094",3,0.348387096774194
"1095",4,0.460215053763441
"1096",5,0.559139784946237
