"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thusday","Tuesday","Wednesday","year","temp","TOTAL_CRIMES","BAR_TAVERN","BATTERY"
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,57.2,0.924901185770751,0.0571428571428571,0.482758620689655
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,58.9,0.764822134387352,0,0.379310344827586
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,56.7,0.851778656126482,0.0285714285714286,0.531034482758621
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,52.5,0.851778656126482,0.142857142857143,0.641379310344828
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,59.3,1,0.314285714285714,0.56551724137931
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,57.6,0.960474308300395,0.4,0.889655172413793
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,62.1,0.800395256916996,0.142857142857143,0.551724137931034
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,51.6,0.802371541501976,0.0857142857142857,0.379310344827586
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,54.6,0.784584980237154,0.0285714285714286,0.420689655172414
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,51.3,0.800395256916996,0.0571428571428571,0.406896551724138
"149",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,58.2,0.968379446640316,0.0571428571428571,0.56551724137931
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,56.9,0.778656126482213,0.257142857142857,0.689655172413793
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,60.4,0.721343873517787,0.0285714285714286,0.268965517241379
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,58.5,0.851778656126482,0,0.558620689655172
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,59.8,0.887351778656126,0.0571428571428571,0.455172413793103
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,62,0.790513833992095,0.0571428571428571,0.475862068965517
"155",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,59.8,0.952569169960474,0.228571428571429,0.620689655172414
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,57.7,0.91699604743083,0.428571428571429,0.703448275862069
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,59.4,0.905138339920949,0.114285714285714,0.496551724137931
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,63.7,0.861660079051383,0.0285714285714286,0.572413793103448
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,62.9,0.739130434782609,0.114285714285714,0.427586206896552
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,56.7,0.711462450592885,0.0857142857142857,0.386206896551724
"161",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,61.7,0.91897233201581,0.0571428571428571,0.606896551724138
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,62.7,0.970355731225296,0.485714285714286,0.655172413793103
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,62.8,0.75098814229249,0.571428571428571,0.744827586206897
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,66,0.812252964426877,0.142857142857143,0.420689655172414
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,60.4,0.741106719367589,0.0285714285714286,0.455172413793103
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,62.3,0.922924901185771,0.171428571428571,0.420689655172414
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,61,0.774703557312253,0.0285714285714286,0.289655172413793
"168",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,63.2,0.865612648221344,0.371428571428571,0.344827586206897
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,64.7,0.956521739130435,0.485714285714286,0.593103448275862
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,65.7,0.924901185770751,0.485714285714286,0.758620689655172
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,68.5,0.926877470355731,0.2,0.524137931034483
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,61.5,0.875494071146245,0.142857142857143,0.310344827586207
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,67.3,0.903162055335968,0.0857142857142857,0.468965517241379
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,61.4,0.808300395256917,0.0571428571428571,0.386206896551724
"175",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,66.8,1,0.2,0.558620689655172
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,69.3,0.91501976284585,0.285714285714286,1
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,67.9,0.845849802371542,0.0571428571428571,0.420689655172414
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,70.2,0.920948616600791,0.142857142857143,0.344827586206897
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,66.6,0.905138339920949,0.142857142857143,0.924137931034483
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,68.9,0.938735177865613,0.2,0.731034482758621
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,69,0.857707509881423,0.4,0.882758620689655
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,64.9,0.972332015810277,0.142857142857143,0.413793103448276
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,69,0.794466403162055,0.0571428571428571,0.420689655172414
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,71.5,0.980237154150198,0.0571428571428571,0.503448275862069
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,66.8,0.837944664031621,0.142857142857143,0.593103448275862
"186",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,70.8,0.883399209486166,0.2,0.468965517241379
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,71.8,0.887351778656126,0.2,0.903448275862069
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,73.1,0.950592885375494,0.0285714285714286,0.331034482758621
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,70.3,0.818181818181818,0.0285714285714286,0.517241379310345
