"","dow","BAR_OR_TAVERN"
"921","Friday",0.227272727272727
"922","Saturday",0.272727272727273
"923","Sunday",0.363636363636364
"924","Monday",0.181818181818182
"925","Tuesday",0
"926","Wednesday",0.0909090909090909
"927","Thursday",0.227272727272727
"928","Friday",0.318181818181818
"929","Saturday",0.181818181818182
"930","Sunday",0.545454545454545
"931","Monday",0.0454545454545455
"932","Tuesday",0.0909090909090909
"933","Wednesday",0.0454545454545455
"934","Thursday",0.272727272727273
"935","Friday",0.0909090909090909
"936","Saturday",0.318181818181818
"937","Sunday",0.727272727272727
"938","Monday",0.181818181818182
"939","Tuesday",0.181818181818182
"940","Wednesday",0.136363636363636
"941","Thursday",0.136363636363636
"942","Friday",0.5
"943","Saturday",1
"944","Sunday",0.772727272727273
"945","Monday",0.136363636363636
"946","Tuesday",0.0454545454545455
"947","Wednesday",0.136363636363636
"948","Thursday",0.136363636363636
"949","Friday",0.227272727272727
"950","Saturday",0.318181818181818
"951","Sunday",0.636363636363636
"952","Monday",0.0909090909090909
"953","Tuesday",0
"954","Wednesday",0.0454545454545455
"955","Thursday",0.0454545454545455
"956","Friday",0.136363636363636
"957","Saturday",0.545454545454545
"958","Sunday",0.227272727272727
"959","Monday",0.0909090909090909
"960","Tuesday",0.0454545454545455
"961","Wednesday",0.181818181818182
"962","Thursday",0.0909090909090909
"963","Friday",0.363636363636364
"964","Saturday",0.409090909090909
"965","Sunday",0.545454545454545
"966","Monday",0.0909090909090909
"967","Tuesday",0.0454545454545455
"968","Wednesday",0.0454545454545455
"969","Thursday",0.136363636363636
"970","Friday",0.181818181818182
"971","Saturday",0.227272727272727
"972","Sunday",0.363636363636364
"973","Monday",0.0909090909090909
"974","Tuesday",0
"975","Wednesday",0.0909090909090909
"976","Thursday",0.181818181818182
"977","Friday",0.181818181818182
"978","Saturday",0.545454545454545
"979","Sunday",0.363636363636364
"980","Monday",0.272727272727273
"981","Tuesday",0
"982","Wednesday",0.181818181818182
"983","Thursday",0.136363636363636
"984","Friday",0.272727272727273
"985","Saturday",0.545454545454545
"986","Sunday",0.454545454545455
"987","Monday",0
"988","Tuesday",0.0454545454545455
"989","Wednesday",0.0454545454545455
"990","Thursday",0.227272727272727
"991","Friday",0.272727272727273
"992","Saturday",0.409090909090909
