"","dow_num","BATTERY"
"324",3,0.413793103448276
"325",4,0.268965517241379
"326",5,0.310344827586207
"327",6,0.4
"328",7,0.448275862068966
"329",1,0.144827586206897
"330",2,0.441379310344828
"331",3,0.117241379310345
"332",4,0.337931034482759
"333",5,0.358620689655172
"334",6,0.296551724137931
"335",7,0.386206896551724
"336",1,0.2
"337",2,0.220689655172414
"338",3,0.303448275862069
"339",4,0.36551724137931
"340",5,0.324137931034483
"341",6,0.379310344827586
"342",7,0.551724137931034
"343",1,0.255172413793103
"344",2,0.158620689655172
"345",3,0.137931034482759
"346",4,0.16551724137931
"347",5,0.406896551724138
"348",6,0.489655172413793
"349",7,0.406896551724138
"350",1,0.268965517241379
"351",2,0.372413793103448
"352",3,0.36551724137931
"353",4,0.262068965517241
"354",5,0.2
"355",6,0.462068965517241
"356",7,0.296551724137931
"357",1,0.213793103448276
"358",2,0.262068965517241
"359",3,0.482758620689655
"360",4,0.255172413793103
"361",5,0.16551724137931
"362",6,0.262068965517241
"363",7,0.537931034482759
"364",1,0.2
"365",2,0.289655172413793
"732",5,0.744
"733",6,0.16
"734",7,0.352
"735",1,0.16
"736",2,0.12
"737",3,0
"738",4,0.184
"739",5,0.16
"740",6,0.288
"741",7,0.256
"742",1,0.032
"743",2,0.136
"744",3,0.112
"745",4,0.032
"746",5,0.192
"747",6,0.344
"748",7,0.328
"749",1,0.032
"750",2,0.232
"751",3,0.104
"752",4,0.232
"753",5,0.16
"754",6,0.504
"755",7,0.328
"756",1,0.184
"757",2,0.096
"758",3,0.032
"759",4,0.032
"760",5,0.328
"761",6,0.304
"762",7,0.16
"763",1,0.176
"764",2,0.28
"765",3,0.08
"766",4,0.136
"767",5,0.152
"768",6,0.36
"769",7,0.296
"770",1,0.056
"771",2,0
"772",3,0.024
"773",4,0.184
"774",5,0.088
"775",6,0.176
"776",7,0.256
"777",1,0.136
"778",2,0.088
"779",3,0.016
"780",4,0.064
"781",5,0.192
"782",6,0.224
"783",7,0.288
"784",1,0.152
"785",2,0.248
"786",3,0.192
"787",4,0.264
"788",5,0.208
"789",6,0.408
"790",7,0.416
"791",1,0.12
"792",2,0.104
"793",3,0.304
"794",4,0.176
"795",5,0.168
"796",6,0.512
"797",7,0.504
"798",1,0.352
"799",2,0.4
"800",3,0.368
"801",4,0.192
"802",5,0.24
"803",6,0.472
"804",7,0.288
"805",1,0.176
"806",2,0.2
"807",3,0.272
"808",4,0.112
"809",5,0.216
"810",6,0.336
"811",7,0.464
"812",1,0.512
"813",2,0.136
"814",3,0.168
"815",4,0.184
"816",5,0.264
"817",6,0.464
"818",7,0.48
"819",1,0.4
"820",2,0.248
"821",3,0.096
"822",4,0.152
"823",5,0.224
"824",6,0.44
"825",7,0.632
"826",1,0.256
"827",2,0.352
"828",3,0.368
"829",4,0.144
"830",5,0.312
"831",6,0.4
"832",7,0.4
"833",1,0.296
"834",2,0.392
"835",3,0.216
"836",4,0.232
"837",5,0.248
"838",6,0.504
"839",7,0.384
"840",1,0.088
"841",2,0.04
"842",3,0.088
"843",4,0.136
"844",5,0.216
"845",6,0.544
"846",7,0.432
"847",1,0.288
"848",2,0.544
"849",3,0.288
"850",4,0.264
"851",5,0.344
"852",6,0.568
"853",7,0.8
"854",1,0.392
